,id,visit,visit_datetime,group,scare_control,scare_outcome,day,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,exp_order,prev_scares,bw_filled
0,3B00185CB8,first visit,2024-12-12 08:09:28.584496,control,nah,0.0,2024-12-12,2024-12-12 08:09:30.195,1-2024-12-12,0.09854616031377597,0.12191640270731519,0.11740859192418789,0.027966159911708092,0.117,0.11734166606113207,0.0008565677088074209,0.116,0.369,0.02716317454954714,0.736,bluti,F,6,1,,1
1,3B00485E69,first visit,2024-12-12 08:10:00.774473,control,nah,0.0,2024-12-12,2024-12-12 08:10:02.197,2-2024-12-12,0.10037163498682822,0.425577256621752,0.3583373664253675,0.02512073525134572,0.304,0.3547573085374384,-0.1967837032932801,0.302,0.077,0.01397284541928168,0.251,bluti,F,6,1,,1
2,3B0018A99B,first visit,2024-12-12 08:10:06.270987,control,nah,0.0,2024-12-12,2024-12-12 08:10:08.197,3-2024-12-12,0.09575324175177652,0.48495776013792763,0.33629302544382,0.024030107415048036,0.663,0.3356863159688143,-0.34999800478961274,0.662,0.006,0.03425436611595064,0.678,bluti,M,5,1,,1
3,3B0018C6F9,first visit,2024-12-12 08:10:24.049161,control,nah,0.0,2024-12-12,2024-12-12 08:10:26.197,4-2024-12-12,0.09403809307273954,0.5604887419202732,0.4181415616379319,0.021861859252018622,0.25,0.40566444744456515,-0.3747385098408079,0.247,0.133,0.014551475078048055,0.265,bluti,M,6,1,,1
4,3B00485E69,not first visit,2024-12-12 08:10:55.736410,control,nah,0.0,2024-12-12,2024-12-12 08:10:57.197,7-2024-12-12,0.10037163498682822,0.3552389193960255,0.3020847401110943,0.020506462154770613,0.709,0.26709263236019426,-0.23380695542958832,0.699,0.278,0.056308691724372084,0.321,bluti,F,6,1,0.0,1
5,3B0018A99B,not first visit,2024-12-12 08:11:47.539795,control,nah,0.0,2024-12-12,2024-12-12 08:11:49.197,10-2024-12-12,0.0900283078525872,0.4408145427609516,0.3703106796458668,0.025949631731121893,3.602,0.36718473306870875,-0.21819485174521192,3.6,0.273,0.11539452946119148,3.605,bluti,M,5,1,0.0,0
6,3B00185CB8,not first visit,2024-12-12 08:12:18.581782,control,nah,0.0,2024-12-12,2024-12-12 08:12:20.197,11-2024-12-12,0.09854616031377597,0.33703036038073875,0.2663658818646626,0.01865055598994927,0.876,0.26463945657175314,-0.20765858703763046,0.874,0.352,0.029321456972265975,0.881,bluti,F,6,1,0.0,1
7,3B00192E1E,first visit,2024-12-12 08:14:07.308664,control,nah,0.0,2024-12-12,2024-12-12 08:14:09.199,15-2024-12-12,0.09255954814340565,0.4334538998315893,0.3052631662293513,0.03103633381073103,1.091,0.2971672343697473,-0.3149279628614204,1.087,0.648,0.052685788412386865,1.073,bluti,M,6,1,,0
8,3B00199DE5,first visit,2024-12-12 08:14:53.060862,control,nah,0.0,2024-12-12,2024-12-12 08:14:54.200,17-2024-12-12,0.2004198041975517,0.26249894402862156,0.15412815827012033,0.2040204962803838,1.0,-0.1565129431109395,0.2040204962803838,0.964,1.0,0.09546119152886753,0.953,bluti,M,5,1,,0
9,3B00199DE5,not first visit,2024-12-12 08:17:03.999325,control,nah,0.0,2024-12-12,2024-12-12 08:17:05.202,21-2024-12-12,0.10563145952466098,0.4379378104685217,0.34674008646345245,0.04616638019301143,1.134,0.3318469249583239,-0.2734616550170715,1.128,0.719,0.1121178204483719,1.123,bluti,M,5,1,0.0,1
10,3B00485E69,not first visit,2024-12-12 08:17:16.797641,control,nah,0.0,2024-12-12,2024-12-12 08:17:16.202,22-2024-12-12,0.09615080460202863,0.4162988732394801,0.341466195807541,0.036980433967336794,2.867,0.3328122991865219,-0.22949255251283476,2.863,0.105,0.04520140385047862,0.642,bluti,F,6,1,0.0,0
11,3B00192E1E,not first visit,2024-12-12 08:18:27.266169,control,nah,0.0,2024-12-12,2024-12-12 08:18:29.203,24-2024-12-12,0.10075251587527521,0.24831719034822416,0.22471419620614838,0.02350149042650369,0.598,0.22194202821027142,-0.08741291024495695,0.595,0.219,0.07040949575312262,0.596,bluti,M,6,1,0.0,1
12,01103F97C4,first visit,2024-12-12 08:18:58.833038,control,nah,0.0,2024-12-12,2024-12-12 08:18:58.202,26-2024-12-12,0.15632453546369732,0.797791139996861,0.6970368275361586,0.053260992316178174,2.697,0.6957405649527642,-0.11411156853072478,2.698,2.671,0.13096033299044388,2.43,greti,M ,5,1,,0
13,3B0018C6F9,not first visit,2024-12-12 08:19:19.204789,control,nah,0.0,2024-12-12,2024-12-12 08:19:21.202,27-2024-12-12,0.09403809307273955,0.5594943498280781,0.4371444894538201,0.01985621353136476,0.477,0.4293048659434397,-0.34390643225062706,0.475,0.333,0.02076620133530421,0.25,bluti,M,6,1,0.0,1
14,01103F97C4,not first visit,2024-12-12 08:21:07.425375,control,nah,0.0,2024-12-12,2024-12-12 08:21:09.204,31-2024-12-12,0.15515453057844106,0.7390426215744803,0.5687223182927816,0.12743315453525067,3.252,0.5669668843485294,-0.4347267056359649,3.251,1.985,0.04823407654204097,3.183,greti,M ,5,1,0.0,0
15,01103F97C4,not first visit,2024-12-12 08:46:06.577572,control,nah,0.0,2024-12-12,2024-12-12 08:46:07.933,32-2024-12-12,0.15410203926115318,0.8242157361096656,0.6668637175600869,0.024197895086928815,1.711,0.662788727321371,-0.4022930029211818,1.709,1.546,0.019729350787256617,1.031,greti,M ,5,1,0.0,0
16,01103F97C4,not first visit,2024-12-12 08:47:27.952179,control,nah,0.0,2024-12-12,2024-12-12 08:47:27.795,33-2024-12-12,0.14540973092905277,1.0823748481652617,0.8668534032327725,0.08105695591089099,2.237,0.8645723461728344,-0.5184479115929179,2.236,2.213,0.08180720955379989,2.212,greti,M ,5,1,0.0,0
17,01103F97C4,not first visit,2024-12-12 08:48:50.127243,control,nah,0.0,2024-12-12,2024-12-12 08:48:51.707,34-2024-12-12,0.15382761445475127,0.8017880173383758,0.6234713331386313,0.04348706189159609,2.508,0.6185042089386422,-0.440104702866834,2.506,0.576,0.015604215755643799,0.295,greti,M ,5,1,0.0,0
