,id,visit,visit_datetime,group,scare_control,scare_outcome,day,datetime,event_no,bodyweight,max_Ftot,max_Fx,max_Fy,time_max_Ftot,Fx_maxFtot,Fy_maxFtot,time_max_Fx,time_max_Fy,max_Fz,time_max_Fz,species,sex,age,exp_order,prev_scares,bw_filled
0,3B00185CB8,first visit,2024-12-12 08:09:28.584496,control,nah,0.0,2024-12-12,2024-12-12 08:09:30.195,1-2024-12-12,,0.12191640270731519,0.11740859192418789,0.027966159911708092,0.117,0.11734166606113207,0.0008565677088074209,0.116,0.369,0.02716317454954714,0.736,bluti,F,6,1,,0
1,3B00485E69,first visit,2024-12-12 08:10:00.774473,control,nah,0.0,2024-12-12,2024-12-12 08:10:02.197,2-2024-12-12,,0.425577256621752,0.3583373664253675,0.02512073525134572,0.304,0.3547573085374384,-0.1967837032932801,0.302,0.077,0.01397284541928168,0.251,bluti,F,6,1,,0
2,3B0018A99B,first visit,2024-12-12 08:10:06.270987,control,nah,0.0,2024-12-12,2024-12-12 08:10:08.197,3-2024-12-12,0.08787484203490604,0.48495776013792763,0.33629302544382,0.024030107415048036,0.663,0.3356863159688143,-0.34999800478961274,0.662,0.006,0.03425436611595064,0.678,bluti,M,5,1,,1
3,3B0018C6F9,first visit,2024-12-12 08:10:24.049161,control,nah,0.0,2024-12-12,2024-12-12 08:10:26.197,4-2024-12-12,0.08954084287233735,0.5604887419202732,0.4181415616379319,0.021861859252018622,0.25,0.40566444744456515,-0.3747385098408079,0.247,0.133,0.014551475078048055,0.265,bluti,M,6,1,,1
4,3B00192E1E,first visit,2024-12-12 08:14:07.308664,control,nah,0.0,2024-12-12,2024-12-12 08:14:09.199,15-2024-12-12,0.09255954814340565,0.4334538998315893,0.3052631662293513,0.03103633381073103,1.091,0.2971672343697473,-0.3149279628614204,1.087,0.648,0.052685788412386865,1.073,bluti,M,6,1,,0
5,3B00199DE5,first visit,2024-12-12 08:14:53.060862,control,nah,0.0,2024-12-12,2024-12-12 08:14:54.200,17-2024-12-12,0.2004198041975517,0.26249894402862156,0.15412815827012033,0.2040204962803838,1.0,-0.1565129431109395,0.2040204962803838,0.964,1.0,0.09546119152886753,0.953,bluti,M,5,1,,0
6,01103F97C4,first visit,2024-12-12 08:18:58.833038,control,nah,0.0,2024-12-12,2024-12-12 08:18:58.202,26-2024-12-12,0.15632453546369732,0.797791139996861,0.6970368275361586,0.053260992316178174,2.697,0.6957405649527642,-0.11411156853072478,2.698,2.671,0.13096033299044388,2.43,greti,M ,5,1,,0
7,3B004CD4DE,first visit,2024-12-12 08:49:59.423019,control,nah,0.0,2024-12-12,2024-12-12 08:50:00.707,37-2024-12-12,0.09654577349817284,0.4937921923796485,0.3219819556217378,0.01080639787160272,0.214,0.31895023966969793,-0.3767728906234401,0.212,0.252,0.06414375997460628,0.227,bluti,M,5,1,,1
8,3B0018C2F6,first visit,2024-12-12 09:12:07.021646,control,nah,0.0,2024-12-12,2024-12-12 09:12:07.724,51-2024-12-12,0.1599103303268931,0.949654357335323,0.6750461111135504,0.049296686687749086,2.215,0.673167962869708,-0.6270816121119065,2.216,1.652,0.25034054091339747,2.219,greti,F,6,1,,0
9,0700ED9568,first visit,2024-12-12 09:23:39.682401,control,nah,0.0,2024-12-12,2024-12-12 09:23:39.732,65-2024-12-12,0.17562770571377215,0.8442369613170456,0.5001560656243969,0.050567697700334174,1.101,0.4956146812757523,-0.6771339823616045,1.099,0.482,0.05979769838200052,0.547,greti,M,6,1,,0
