,RFID,event2,datetime,bodyweight,impulse
0,3B0019F652,94,33:41.4,0.088502437,0.002586466
1,3B0019F652,159,22:34.4,0.088502437,0.002420478
2,3B0019F652,182,54:08.2,0.088502437,0.010632149
3,3B0019F652,207,21:11.2,0.088502437,0.000664057
4,3B0019F652,223,27:50.2,0.088502437,0.012000881
5,3B0019F652,227,29:58.2,0.088502437,0.008358859
6,3B0019F652,272,55:24.2,0.088502437,0.004081396
7,3B0019F652,283,59:12.2,0.088502437,0.017304094
8,3B0019F652,309,24:02.2,0.088502437,0.004143879
9,3B0019F652,333,42:43.2,0.088502437,0.010593628
10,3B0019F652,338,43:55.2,0.088502437,0.004082616
11,3B0019F652,342,45:11.2,0.087489155,0.003966039
12,3B0019F652,348,48:20.2,0.088502437,0.010804407
13,3B0019F652,350,48:29.2,0.088502437,0.001938504
14,3B0019F652,359,51:37.2,0.088502437,-0.0075082
15,3B0019F652,372,37:46.2,0.085841451,0.004629797
16,3B0019F652,415,10:19.2,0.088502437,0.01127379
17,3B0019F652,437,33:44.2,0.088464034,0.014370294
18,3B0019F652,438,36:32.2,0.088502437,0.005986711
19,3B0019F652,439,39:08.2,0.090226825,0.013356671
20,3B0019F652,442,43:04.2,0.088502437,0.004763427
21,3B0019F652,444,50:13.8,0.088502437,0.00041043
